id;adresse;chemin_photo_maison;nbre_piece;disponibilite;prix_location;proprietaire
1;upright yowza;never shop rick;2673;false;27678.31;viciously kid for
2;regarding sudden;eek;7860;true;5534.03;abaft
3;incidentally replenish;kindly upside-down;9029;false;3572.47;greatly
4;midst a idealistic;even nervously;14264;false;27737.17;ha stumbling
5;gravel;nearly wherever yowza;18698;false;4338.96;revolving frilly
6;dangerous despite about;however curiously lest;11086;true;1005.05;frantically
7;zucchini foam yet;freon;25427;false;20022.28;eyelids sour finally
8;astonishing athwart till;ouch;22277;true;29552.17;regress couch out
9;although cheerfully;ah bah;7229;true;26096.31;bus
10;exchange verbally;psst;27812;true;8231.08;keenly regal
