id;nom;type;date_vole;chemin_photo_objet;chemin_facture;etat;adresse_proprietaire
1;than amble;convert however pfft;2024-05-24T18:20:28;even virtuous briefly;hungry candidacy;kiddingly nationalise lest;like past joshingly
2;system;nippy termination;2024-05-24T18:46:38;almost;blah victoriously upon;duh patiently;reluctantly geez
3;scarce rectangular;supposing;2024-05-24T00:49:33;lavish silently woot;willfully inside gee;because;an until
4;but;straggle buttress textual;2024-05-24T15:18:26;since;now;opposite worthy periodic;furthermore
5;although rubbery against;meanwhile regarding;2024-05-24T09:28:51;qua;exocrine;astride decay whenever;mister
6;closely;mmm;2024-05-24T01:52:01;after sharpen skedaddle;yahoo philosophise;at bind as;toque commit whoa
7;witness lye;oily;2024-05-24T19:25:15;huzzah gladly sweltering;defiantly plush ridicule;plus boo;audition
8;upwardly;suspiciously insecure;2024-05-24T09:58:41;reoffend;once shocked selection;yet sightseeing;burden enlist
9;or more gah;hammer um midst;2024-05-23T20:54:37;suffocation into lest;frantically;souvenir yahoo;obediently delimit
10;nor direct blindly;devastation annually;2024-05-24T15:08:59;wherever design officiate;um fitting;unsubscribe picture;lending
