id;adresse;chemin_photo_piece;disponibilite;prix_location;proprietaire
1;calmly pillory;lest wangle;false;18392.28;now
2;very briefing bribery;scratchy measurement;true;20096.24;mundane
3;river equal;rigidly;false;29936.14;provided afraid dazzling
4;impersonate;times;true;9787.66;meaningfully fervently
5;minus while;yearly overhead idealistic;false;6492.33;simple
6;drat solace affect;trivialize;true;24771.85;delightfully psst
7;machinery whose;peter;true;31727.41;lest reconsider keenly
8;stylish;geez flat whip;true;9622.3;likewise untimely
9;uh-huh outrageous after;along respray hungry;false;19057.4;well-off mantel since
10;physical since selfish;delivery;false;669.22;out
